Rank | ID     | Name                 | Dept | Sem | CGPA | Credits | Year
-----------------------------------------------------------------------
1    | 200039 | Qasim Butt           | BBA  | 7   | 3.97 | 125     | 2016
2    | 200058 | Sidra Ahmed          | MAT  | 2   | 3.97 | 43      | 2020
3    | 200068 | Huda Kamal           | CIV  | 1   | 3.96 | 24      | 2023
4    | 200053 | Madiha Mirza         | MEC  | 3   | 3.93 | 44      | 2021
5    | 200096 | Azhar Dar            | ECO  | 6   | 3.92 | 107     | 2015
6    | 200084 | Raza Naqvi           | ECO  | 5   | 3.92 | 83      | 2016
7    | 200023 | Khalid Javed         | MEC  | 6   | 3.88 | 103     | 2021
8    | 200102 | Zain Yaqoob          | BBA  | 7   | 3.87 | 121     | 2018
9    | 200104 | Huma Hamza           | EEE  | 4   | 3.87 | 77      | 2017
10   | 200083 | Muhammad Niazi       | MEC  | 6   | 3.83 | 110     | 2016
11   | 200076 | Ismail Qureshi       | ARC  | 8   | 3.81 | 139     | 2023
12   | 200049 | Sami Wali            | PHY  | 6   | 3.80 | 118     | 2015
13   | 200017 | Areeba Usman         | BBA  | 3   | 3.77 | 50      | 2015
14   | 200100 | Luqman Imam          | MAT  | 6   | 3.73 | 112     | 2019
15   | 200018 | Yousuf Tahir         | CSE  | 6   | 3.72 | 106     | 2017
16   | 200035 | Waqar Masood         | MAT  | 6   | 3.70 | 116     | 2015
17   | 200038 | Mahira Fahim         | MAT  | 7   | 3.69 | 123     | 2017
18   | 200086 | Khadija Bashir       | MAT  | 6   | 3.68 | 118     | 2015
19   | 200101 | Hamza Butt           | BBA  | 8   | 3.65 | 152     | 2019
20   | 200040 | Aliza Aziz           | CSE  | 2   | 3.65 | 44      | 2019
21   | 200064 | Yahya Bhatti         | MEC  | 5   | 3.64 | 96      | 2019
22   | 200016 | Yousuf Junaid        | ARC  | 3   | 3.64 | 52      | 2019
23   | 200080 | Mahnoor Aslam        | PHY  | 6   | 3.60 | 105     | 2016
24   | 200091 | Mubarak Kazmi        | MEC  | 2   | 3.60 | 40      | 2019
25   | 200021 | Rabia Hassan         | CIV  | 4   | 3.58 | 81      | 2017
26   | 200012 | Samina Naveed        | ARC  | 7   | 3.57 | 133     | 2017
27   | 200097 | Huma Akram           | CIV  | 5   | 3.56 | 99      | 2023
28   | 200070 | Ehsan Yaqoob         | CSE  | 2   | 3.54 | 44      | 2015
29   | 200003 | Hajra Ilyas          | ARC  | 7   | 3.53 | 133     | 2020
